diaglocalcode,diagnosis
DC6910,Epithelioid Leiomyosarcoma
DC6916,Preterm spontaneous labour with  term delivery
DC6917,Caisson disease[decompression sickness]
DC6918,Other secondary gonarthrosis
DC6922,Myxoma NOS
DC6923,Meningismus
DC6924,Hyperplasia of prostate with other complication
DC6925,Schizoid personality disorder
DC6926,Neoplasm of uncertain or unknown behavior of carotid body
DC693,Melanoma in situ of other sites
DC6933,Open fracture of base of skull
DC6934,Creutzfeldt-Jakob disease
DC6937,Visceral larva migrans
DC6938,Injury of muscle and tendon of abdomen_ lower back and pelvis
DC694,Disorders of initiating and maintaining sleep [insomnias]
DC6942,Unspecified behavioral and emotional disorders with onset usually occurring in childhood and adolescence
DC6943,Contact with other and unspecified machinery_ trade and service area
DC6944,Examination and observation following other inflicted injury
DC6945,Juvenile idiopathic scoliosis_ site unspecified
DC6946,Other viral diseases complicating pregnancy_ childbirth and the puerperium(condition in A80-B09_B25-B34)
DC6947,Fracture of forearm_ part unspecified_ open
DC6948,Ventral hernia with obstruction_ without gangrene
DC6949,Special screening examination for neoplasms of other sites
DC695,Candidiasis_unspecified
DC6950,Other specified disorders of arteries and arterioles
DC6953,Benign neoplasm of carotid body
DC6954,Benign neoplasm of soft tissue of retroperitoneum
DC6955,Malignant neoplasm of stomach_ unspecified
DC6956,Tuberculous arthritis_ site unspecified
DC6957,Bursitis of shoulder
DC696,Dementia in Alzheimer's disease with early onset
DC6960,Rheumatoid arthritis_ unspecified_ hand(carpus_ fingers_ metacarpus_ joints between these bones)
DC6963,Intraventricular (nontraumatic) hemorrhage of fetus and newborn
DC6965,Other hypertrophic osteoarthropathy_ site unspecified
DC6966,Benign neoplasm of other urinary organs
DC6967,Essential thrombocytosis
DC697,Choroidal degeneration
DC6971,Pain in limb_ multiple sites
DC6972,Injury of unspecified cranial nerve
DC6973,Recurrent oral aphthae
DC6974,Astrocytoma NOS
DC6975,Abnormal biochemical finding on antenatal screening of mother
DC6976,Pilonidal cyst without abscess
DC6978,Neonatal aspiration of meconium
DC698,Pulmonary valve stenosis with insufficiency
DC6981,Dislocations_ sprains and strains involving thorax with lower back and pelvis
DC6983,Perforation of intestine(nontraumatic)
DC6984,Glaucoma secondary to eye trauma
DC6985,Other iodine-deficiency-related thyroid disorders and allied conditions
DC6986,Abnormal level of hormones in specimens from digestive organs and abdominal
DC6987,Other benign mammary dysplasias
DC699,Necrosis of amputation stump
DC6990,Secondary malignant neoplasm of pleura
DC6993,Other lipid storage disorders
DC6995,Other senile cataract
DC6998,Ventral hernia without obstruction or gangrene
DC6999,Acute pancreatitis_ unspecified
DC7,Umbilical polyp of newborn
DC70,Internal derangement of knee_ unspecified_ Anterior cruciate ligament or Anterior horn of medial meniscus
DC7000,Retinal breaks without detachment
DC7001,Other disorders of lacrimal gland
DC7002,Tear of meniscus_ unspecified
DC7004,Melanoma in situ of eyelid_ including canthus
DC7006,Malignant neoplasm of vertebral column
DC7009,Panniculitis affecting regions of neck and back_ site unspecified
DC701,Sensorineural hearing loss_ bilateral
DC7011,Other respiratory distress of newborn
DC7012,Malignant neoplasm of superior wall of nasopharynx
DC7013,Examination for recruitment to armed forces
DC7014,Other primary arthrosis of first carpometacarpal joint
DC7016,Nummular dermatitis
DC7017,Unspecified abnormal findings in specimens from female genital organs
DC7018,Unilateral or unspecified femoral hernia_ with obstruction_ without gangrene
DC7019,Malignant neoplasm of prostate
DC702,Alopecia areata_unspecified
DC7021,Giant cell arteritis with polymyalgia rheumatica
DC7022,Epidural hemorrhage_ with open intracranial wound
DC7023,Neurasthenia
DC7025,Tuberculosis of spine_ thoracic region
DC7026,Disorder of urinary system_ unspecified
DC7027,Foreign body on external eye_ part unspecified
DC7028,Osteophyte_ site unspecified
DC7030,Other specified leukemias
DC7031,Epistaxis
DC7033,Disorders of other visual pathways
DC7034,Burns involving 10-19% of body surface
DC7035,Plasmodium malariae malaria with nephropathy
DC7036,Dislocation of other part of shoulder
DC7037,Collapsed vertebra NEC_ lumbosacral region
DC7038,Vancomycin resistant agent
DC7039,Multi-infarct dementia
DC704,Other disorders of vitreous body
DC7041,Ptosis of eyelid
DC7046,Fall on and from stairs and steps_ unspecified place
DC7048,Gemistocytic Astrocytoma
DC705,Intraductal Carcinoma And Lobular Carcinoma In Situ (D05.7)
DC7052,Injury of multiple pelvic organs_ without open wound into cavity
DC7053,Other benign neoplasms of connective and other soft tissue of trunk_ unspecified
DC7055,Steatocystoma multiplex
DC7056,Exposure to electric transmission lines_ industrial and construction area
DC7057,Traumatic cataract
DC7058,Calculus of prostate
DC7059,Nonunion of fracture[pseudarthrosis]_ upper arm (humerus_ elbow joints)(humerus_ elbow joints)
DC7060,Burn of mouth and pharynx
DC7061,Migraine_ unspecified
DC7063,Hepatitis A with hepatic coma
DC7065,Enteroviral meningitis
DC7066,Langerhans cell histiocytosis_ NOS
DC7068,Drug-induced dystonia
DC7070,Sequelae of injury of muscle and tendon of upper limb
DC7072,Other anemias due to enzyme disorders
DC7075,Habit and impulse disorder_ unspecified
DC7076,Zoster with other nervous system involvement
DC7077,Erythema infectiosum[fifth disease]
DC7078,Cranial nerve disorder_ unspecified
DC708,Fracture of olecranon process of ulna
DC7080,Delirium_ unspecified
DC7083,Contact with venomous marine animals and plants_ unspecified place
DC7084,Other Hodgkin's disease
DC7086,Other lesions of median nerve
DC7089,Poisoning by and exposure to other and unspecified chemicals and noxious substances_ undetermined intent_ unspecified place
DC7090,Superficial injury of nose_ other injury
DC7092,Traumatic subarachnoid hemorrhage with open intracranial wound
DC7093,Alcoholic polyneuropathy
DC7095,Neurofibromatosis NOS (Q85.0)
DC7096,Vertiginous syndromes in diseases classified elsewhere
DC7098,Transitory ileus of newborn
DC71,Multiple fractures of foot_ open
DC710,synovitis and tenosynovitis_ unspecified_ other(head_ neck_ ribs_ skull_ trunk_ vertebral column)
DC7101,Varicose veins of lower extremities with inflammation
DC7103,Other postprocedural musculoskeletal disorders
DC7104,Hydrops fetalis due to other and unspecified hemolytic disease
DC7106,Nonspecific reactive hepatitis
DC7109,Other fall on same level_ unspecified place
DC7111,Benign neoplasm of intrathoracic organ_ unspecified
DC7113,Benign neoplasm of sigmoid colon
DC7115,Ischiorectal abscess
DC7116,Rupture of anterior cruciate ligament
DC7117,Complications of the puerperium_ unspecified
DC7118,Fistula of bile duct
DC7120,Mixed Germ Cell Tumor
DC7122,Other specified diseases of anus and rectum
DC7126,Other specified arthritis_ forearm(radius_ ulna_ wrist joints)
DC713,Injury of unspecified muscle and tendon of lower limb_ level unspecified
DC7130,Pre-existing diabetes mellitus_ insulin-dependent in pregnancy
DC7131,Spinal and epidural anesthesia-induced headache during pregnancy
DC7132,Dislocation of hip
DC7133,Diaphragmatic hernia without obstruction or gangrene
DC7135,Other physical and mental strain related to work
DC7136,Otitis media_ unspecified
DC7137,Neonatal diabetes mellitus
DC7138,Kidney transplant failure and rejection
DC7139,Postoophorectomy osteoporosis with pathological fracture_ site unspecified
DC7140,Dehydration
DC7141,Superficial injury of abdomen_ lower back and pelvis_ part unspecified
DC7143,Other and unspecified disorders of circulatory system
DC7144,Superficial injury of forearm_ unspecified
DC7145,Infection and inflammatory reaction due to cardiac valve prosthesis
DC7147,Internal derangement of knee_ unspecified_ unspecified meniscus or ligament
DC7149,Malignant neoplasm of spermatic cord
DC715,Toxoplasma hepatitis
DC7153,Acute gastric ulcer with perforation
DC7154,Other bursitis of knee
DC7155,Primary biliary cirrhosis
DC7156,Junctional premature depolarization
DC7157,Other megaloblastic anemias_ NEC
DC7158,Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes
DC7159,Drug-induced nonautoimmune hemolytic anemia
DC7160,Traumatic spondylopathy_ cervical region
DC7161,Other superficial injuries of eyelid and periocular area                                                                        
DC7163,Ectopic hormone secretion_ NEC
DC7166,Multiple fractures of lower leg_ open
DC7167,Delivery by combination of forceps and vacuum extractor
DC7168,Viral carditis
DC7169,Residual foreign body in soft tissue_ site unspecified
DC717,Other injury of conjunctiva and corneal abrasion without mention of foreign body
DC7172,Hypertensive heart and renal disease_ unspecified
DC7173,Injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level
DC7174,Acquired keratosis[keratoderma] palmaris et plantaris
DC7176,Ischemic cardiomyopathy
DC7177,Bitten or stung by nonvenomous insect and other nonvenomous arthropods_ trade and service area
DC7178,Other specified bacterial agents as the cause of diseases classified to other chapters
DC718,Other hemorrhage in early pregnancy
DC7180,Choroid Plexus Papilloma NOS (D33.0)
DC7182,Malignant neoplasm of liver_ unspecified
DC7183,Rupture of popliteal cyst
DC7184,Pneumoconiosis due to asbestos and other mineral fibers
DC7185,Injury of median nerve at forearm level
DC7186,Comedocarcinoma_ Noninfiltrating
DC7187,Spindle Cell Sarcoma
DC7188,Neonatal haematemesis
DC7189,Other cranial nerve disorders in other diseases classified elsewhere
DC719,Other superficial injuries of hip and thigh
DC7190,Classical phenylketonuria
DC7192,Unspecified pedal cyclist injured in collision with car_ pick-up truck or van in traffic accident
DC7193,Lymphocytic depletion Hodgkin's disease
DC7194,Tinea unguium
DC7195,Dislocations_ sprains and strains involving multiple regions of upper limb (s)
DC7196,Issue of medical certificate
DC7199,Examination and observation following work accident
DC7203,Other obsessive-compulsive disorders
DC7204,Reflex neuropathic bladder_ NEC
DC7206,Other disorders of psychological development
DC7207,Rickets_ active
DC7208,Hyperesthesia
DC7209,Labour and delivery complicated by other cord entanglement_ with compression
DC721,Spontaneous rupture of flexor tendons_ site unspecified
DC7214,Hemangioendothelioma NOS
DC7216,Injury of multiple muscles and tendons at hip and thigh level
DC7217,Polyp of colon
DC7218,Toxic gastroenteritis and colitis
DC7220,Acquired stenosis of external ear canal
DC7221,Donor of other organs and tissues
DC7222,Examination and observation for other specified reasons
DC7223,Thoracic aortic aneurysm_ without mention of rupture
DC7224,Nail disorders in other diseases classified elsewhere
DC7229,Injury of bladder_ with open wound into cavity
DC723,Foreign body or object entering through skin_ home
DC7230,Secondary malignant neoplasm of other and unspecified parts of nervous system
DC7231,Other chronic pancreatitis
DC7232,Anankastic personality disorder
DC7238,Preterm spontaneous labour with  preterm delivery
DC7240,Vertebro-basilar artery syndrome
DC7241,Other central corneal opacity
DC7242,Flat foot [pes planus]_ ankle and foot
DC7243,Lipomatosis_ NEC
DC7244,Pseudomyxoma Peritonei (C78.6)
DC7245,Other childhood emotional disorders
DC7246,Adenocarcinoid Tumor
DC7248,Unspecified respiratory condition due to inhalation of chemicals_ gases_ fumes and vapors
DC7249,Other low birth weight
DC7250,Other superficial keratitis without conjunctivitis
DC7251,Unspecified osteomyelitis_ ankle and foot (metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC7252,Other malignant neoplasm of_ skin of lip
DC7254,Unspecified soft tissue disorders related to use_ overuse and pressure_ ankle and foot (metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC7255,Serous Cystadenoma_Borderline Malignancy
DC7257,Pneumonitis due to other solids and liquids
DC7258,Congenital toxoplasmosis
DC7259,Malignant neoplasm of undescended testis
DC726,Abscess of bursa_ other (head_ neck_ ribs_ skull_ trunk_ vertebral column)
DC7260,General psychiatric examination_ requested by authority
DC7261,Fracture of zygomatic arch
DC7262,Disorder of pancreatic internal secretion_ unspecified
DC7263,Need for immunization against tetanus alone
DC7265,Recurrent subluxation of patella
DC7268,Sexual maturation disorder
DC7269,Nausea alone
DC7270,Pedestrian injured in collision with heavy transport vehicle or bus in traffic accident
DC7272,Benign neoplasm of other specified sites
DC7273,Subsequent myocardial infarction of other sites
DC7275,Pathological fracture NEC_ shoulder region (clavicle_ scapula_ acromioclavicular joints_ glenohemeral joints_ sternoclavicular joints)
DC7277,Malignant neoplasm of laryngeal cartilage
DC7278,Benign neoplasm of eye_ unspecified
DC728,Other recurrent atlantoaxial subluxation_ sacral and sacrococcygeal region
DC7280,Anomalies of pupillary function
DC7281,Carcinoma in situ vulva
DC7282,Pleural condition_ unspecified
DC7283,Benign neoplasm of endocrine gland_ unspecified
DC7285,Other benign neoplasms of connective and other soft tissue of upper limb_ including shoulder
DC7286,Disorders of mulcle_ unspecified_ site unspecified
DC7289,Traumatic arthropathy_ ankle and foot(metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC7290,Other acquired deformities of ankle and foot_ ankle and foot
DC7293,Varus deformity NEC_ lower leg(fibula_ tibia_ knee joint)
DC7295,Care involving use of rehabilitation procedure_ unspecified
DC7296,Benign neoplasm of trachea
DC7297,Cytomegaloviral diseases_ unspecified
DC7299,Heart disease_ unspecified
DC73,Frostbite with tissue necrosis of other and unspecified sites
DC7302,Other specified soft tissue disorders_ site unspecified
DC7305,Malignant neoplasm of glottis
DC7306,Idiopathic gout_ site unspecified
DC7308,Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances_ unspecified place
DC7310,Hypertrophy of nasal turbinates
DC7312,Enthesopathy_ unspecified_ upper arm (humerus_ elbow joints)
DC7313,Mitral valve disease_ unspecified
DC7314,Other osteomyelitis_ pelvic region and thigh (buttock_ femur_ pelvis_ hip(joint)_ sacroiliac joint)
DC7315,Encephalitis_ myelitis and encephalomyelitis in viral diseases classified elsewhere
DC7316,Other disorders of tooth development
DC7317,Discoid meniscus(congenital)_ Capsular ligament
DC7318,Injury of tibial nerve at lower leg level
DC7319,Collapsed vertebra NEC_ lumbar region
DC7322,Transient synovitis
DC7323,Supervision of other normal pregnancy
DC7325,Superficial thrombophlebitis in the puerperium
DC7327,Benign neoplasm of floor of mouth
DC7328,Polyneuropathy in other musculoskeletal disorders
DC733,Aneurysm of pulmonary artery
DC7330,Closed fracture of other tarsal bone(s)
DC7331,Other spondylosis_ lumbosacral region
DC7332,Other adult osteomalacia_ site unspecified
DC7333,Venous insufficiency (chronic)(peripheral)
DC7338,Leukoplakia of vulva
DC7339,Superficial injury of scalp_ unspecified injury
DC734,Excessive and frequent menstruation with irregular cycle
DC7340,Papillomatosis NOS
DC7341,Open fracture of first metacarpal bone
DC7342,Fracture of shaft of femur_ closed
DC7343,Injuries of brain and cranial nerves with injuries of nerves and spinal cord at neck level
DC7344,Mucopolysaccharidosis_ type I
DC7346,Toxic effect of chloroform
DC7348,Subarachnoid hemorrhage from vertebral artery
DC7349,Osteopathy after poliomyelitis_ site unspecified
DC735,Paraneoplastic neuromyopathy and neuropathy
DC7350,Fistula of vagina to small intestine
DC7352,Cushing's syndrome_ unspecified
DC7354,Benign neoplasm of other specified intrathoracic organs
DC7355,Neoplasm of uncertain or unknown behavior of placenta
DC7356,Spondylolisthesis_ cervical region
DC7358,Other cervical disc degeneration
DC736,Person injured in unspecified vehicle accident
DC7361,Acute erythroid leukemia
DC7364,Donor of unspecified organ or tissue
DC7365,Unspecified pedal cyclist injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
DC7366,Injury of unspecified blood vessel at wrist and hand level
DC7368,Hypertrophy of vulva
DC7374,Other neonatal gastrointestinal hemorrhage
DC7375,Closed fracture of shaft of ulna
DC7376,Arthrosis_ unspecified_ other(head_ neck_ ribs_ skull_ trunk_ vertebral column)
DC7377,Superficial injury of shoulder and upper arm_ unspecified
DC7378,Atypical anorexia nervosa
DC7379,Constitutional tall stature
DC7380,Benign lipomatous neoplasm of skin and subcutaneous tissue of head_ face and neck
DC7382,Sarcoma NOS
DC7385,Unspecified rapidly progressive nephritic syndrome
DC7386,Hyperglycemia_ unspecified
DC7387,Alopecia universalis
DC7389,Cerebellar stroke syndrome
DC7390,Carcinoma in situ cervix_ unspecified
DC7394,Diffuse cerebral contusions
DC7398,Acute epidemic hemorrhagic conjunctivitis(enteroviral)
DC7399,Acquired deformity of musculoskeletal system_ unspecified
DC74,Acromegaly and pituitary gigantism
DC7400,Osteoporosis of disuse with pathological fracture_ site unspecified
DC7402,Atrophy of salivary gland
DC7403,Other specified diseases of intestine
DC7406,Infantile spinal muscular atrophy_ type I [Werdnig-Hoffman]
DC7407,Carcinoid syndome
DC7408,Fracture of clavicle_ part unspecified
DC7409,Ganglioglioma
DC7411,Open wound of thigh
DC7412,Gout_ unspecified_ site unspecified
DC7413,Rheumatoid arthritis_ unspecified_ multiple sites
DC7416,Acute bronchitis_ unspecified
DC7417,Sequelae of crushing injury and traumatic amputation of upper limb
DC7418,Fracture of calcaneus_ open
DC7419,Contracture of joint_ site unspecified
DC7421,Aggressive Fibromatosis
DC7422,Polyarthritis_ unspecified_ site unspecified
DC7423,Third[oculomotor] nerve palsy
DC7424,Embryonal Rhabdomyosarcoma
DC7426,Multiple fracture of lumbar spine and pelvis_ Open
DC7428,Mycoplasma pneumoniae[M.pneumoniae] as the cause of diseases classified to other chapters
DC7429,Supervision of other high-risk pregnancies
DC743,Other meniscus derangement_ Posterior cruciate ligament or Posterior horn of medial meniscus
DC7430,Torticollis_ cervical region
DC7434,Urticaria due to cold and heat
DC7435,Toxic liver disease with chronic persistent hepatitis
DC7437,Sialolithiasis
DC7438,Necrotizing ulcerative stomatitis
DC7439,Multiple open wound of shoulder and upper arm
DC744,Open wound of shoulder
DC7442,Other spondylosis_ cervical region
DC7445,Developmental(nonodontogenic) cysts of oral region
DC7448,Unspecified diabetes mellitus with peripheral circulatory complications
DC7449,Endocarditis_ valve unspecified_ in diseases classified elsewhere
DC7451,Sacroiliitis NEC_ site unspecified
DC7452,Atherosclerotic cardiovascular disease_ so described
DC7453,Care and examination of lactating mother
DC7456,Arteritis_ unspecified
DC7458,Other specified conduction disorders
DC746,Dislocation of C3/C4 cervical vertebra
DC7460,Post-traumatic arthrosis of other joints_ multiple sites
DC7461,Disease of jaws_ unspecified
DC7463,Injury of muscle and tendon of long head of biceps_ Laceration
DC7464,Spondylolysis_ lumbosacral region
DC7466,Hypoxic ischemic encephalopathy of newborn
DC7468,Multiple dislocations_ sprains and strains_ unspecified
DC7469,Superficial injury of other parts of neck
DC747,Rheumatic diseases of endocardium_ valve unspecified
DC7470,Paragonimiasis
DC7473,Toxic effect of tobacco and nicotine
DC7474,Dislocation of cervical vertebra_ level unspecified
DC7475,Other specified diabetes mellitus with coma
DC7476,Thromboangiitis obliterans [Buerger]
DC7477,Hepatic sclerosis
DC7478,Other examinations for administrative purposes
DC7479,Multiple superficial injuries of thorax
DC7480,Lethal midline granuloma
DC7481,Disorder of continuity of bone_ unspecified_ site unspecified
DC7482,Striatonigral degeneration
DC7483,Malignant neoplasm of testis_ unspecified
DC7484,Open multiple fractures involving skull and facial bones
DC7486,Post-traumatic urethral stricture
DC7488,Cerebral infarction
DC749,Paralytic syndrome_ unspecified
DC7490,Superficial frostbite of head
DC7493,Cysticercosis of central nervous system
DC7494,Other specified inflammation of vagina and vulva
DC7495,Mechanical complication of other cardiac and vascular devices and implants
DC7497,Anterograde amnesia
DC7498,Neonatal jaundice_ unspecified
DC750,Other specified intervertebral disc degeneration
DC7500,Fracture of other parts of neck_ closed
DC7501,Pediculosis_unspecified
DC7504,Chronic adhesive pericarditis
DC7505,Other hereditary nephropathy_ NEC
DC7506,Malignant neoplasm of overlapping lesion of nasopharynx
DC7507,Atrial fibrillation
DC7508,Periarthritis of wrist
DC751,Nonorganic enuresis
DC7510,Post-traumatic arthrosis of first carpometacarpal joints_ bilateral
DC7511,Observation for other suspected cardiovascular diseases
DC7513,Hypertrophy of tonsils
DC7514,Tuberculosis of genitourinary system
DC7515,Nonspecific low blood-pressure reading
DC7516,Injury of brachial artery
DC7520,Chronic respiratory conditions due to chemicals_ gases_ fumes and vapors
DC7521,Superficial frostbite of ankle and foot
DC7522,Superficial injury of hip and thigh_ unspecified
DC7523,Fractures involving multiple regions of one lower limb
DC7524,Multiple fracture of unspecified ribs
DC7525,Other spondylosis_ thoracic region
DC7527,Collapsed vertebra NEC_ thoracic region
DC7528,Obstructive hypertrophic cardiomyopathy
DC7529,Other benign neoplasms of skin of lip
DC753,Other and unspecified abnormal findings in urine
DC7530,Other specified spirochaetal infections
DC7533,Excessive menstruation at puberty
DC7534,Injury of median nerve at upper arm level
DC7535,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries
DC7538,Injury of Achilles tendon_ Other and unspecified injury
DC7539,Antenatal screening_ unspecified
DC7540,Malignant neoplasm of accessory sinus_ unspecified
DC7541,Injury of other muscles and tendons at wrist and hand level                                                                       
DC7544,Acute otitis externa_ non-infective
DC7545,Childhood emotional disorder_ unspecified
DC7546,Disturbances in tooth formation
DC7548,Striae atrophicae
DC7549,Other spondylosis with radiculopathy_ cervical region
DC755,Examination for normal comparison and control in clinical research programme
DC7552,Syphilis complicating pregnancy_ childbirth and the puerperium(condition in A50-A53)
DC7553,Chronic multifocal osteomyelitis_ pelvic region and thigh (buttock_ femur_ pelvis_ hip(joint)_ sacroiliac joint)
DC7554,Atrophy of breast
DC7555,Intramuscular Lipoma
DC7557,Viral meningitis_ unspecified
DC7559,Stuttering[stammering]
DC7560,Other functional disturbances following cardiac surgery
DC7561,Liver cell carcinoma
DC7562,Other plastic surgery for unacceptable cosmetic appearance
DC7565,Alcoholic hepatic failure
DC7566,Abnormal results of kidney function studies
DC7567,Primary gonarthrosis_ bilateral
DC7568,Convalescence following raidotherapy
DC7569,Schizotypal disorder
DC757,Accidental poisoning by and exposure to pesticides_ unspecified place
DC7570,Convulsions of newborn
DC7572,Stage III decubitus  ulcer and pressure area
DC7574,Abnormal level of other drugs_ medicaments and biological substances in specimens from male genital organs
DC7575,Anaphylactic-shock_ unspeified
DC7576,Dystonia_ unspecified
DC7578,Pyothorax with fistula
DC7579,Obstruction of doudenum
DC758,Fracture of phalanx_ part unspecified
DC7580,Transient global amnesia
DC7584,Rheumatoid arthritis_ unspecified_ shoulder region(clavicle_ scapula_ acromioclavicular joints_ glenohumeral joints_ sternoclavicular joints)
DC7588,Rheumatoid arthritis_ unspecified_ other(head_ neck_ ribs_ skull_ trunk_ vertebral column)
DC7589,Other neonatal aspiration syndromes
DC759,Insulin dependent diabetes mellitus with renal complications
DC7590,Aortic valve disorders in diseases classified elsewhere
DC7593,Exposure to other specified electric current_ other specified places
DC7595,Rickettsiosis_ unspecified
DC7596,Other and unspecified ovarian cysts
DC7597,Fracture of femur_part unspecified_ open
DC7598,Brain stem stroke syndrome
DC7599,Sequelae of unspecified injury of head
DC760,Infections of bladder in pregnancy
DC7601,Chronic constrictive pericarditis
DC7604,Occupational exposure to dust
DC7605,Other forms of acute pericarditis
DC7606,Nonorganic disorder of the sleep-wake schedule
DC7607,Angioimmunoblastic Lymphadenopathy (D47.7)
DC7608,Medulla of adrenal gland
DC7611,Ankylosing spondylitis_ multiple sites in spine
DC7612,Anetoderma of Schweninger-Buzzi
DC7613,Other rosacea
DC7615,Open wound of other parts of foot
DC7616,Obstructed labour_ unspecified
DC7618,Antenatal screening for chromosomal anomalies
DC7619,Follicular disorders_ unspecified
DC7620,Bacterial pneumonia_ unspecified
DC7621,Facial myokymia
DC7622,Rupture of medial collateral ligament
DC7625,Sunburn _unspecified
DC7627,Pure sensory lacunar syndrome
DC7628,Developmental disorders of jaws
DC7630,Portal hypertension
DC7634,Other conjunctival vascular disorders and cysts
DC7635,Retinal disorder_ unspecified
DC7636,Fracture of pelvis_ part unspecified
DC7639,Fracture of navicular[scaphoid]_ foot
DC764,Open wound of ankle
DC7640,Neuromyelitis optica [Devic]
DC7641,Infection of intervertebral disc(pyogenic)_ site unspecified
DC7643,Corneal neovascularization
DC7644,Epiphora
DC7645,Meningioma_ Malignant
DC7650,Fractures involving thorax with lower back and pelvis with limb (s)
DC7651,Other symptoms and signs involving emotional state
DC7652,Other benign neoplasms of other parts of uterus
DC7653,Malignant neoplasm of lower gum
DC7654,Contusion of throat
DC7655,Other secondary pulmonary  hypertension
DC7656,Acute frontal sinusitis
DC7658,Acute Leukemia NOS (C95.0)
DC7659,Open wound of breast
DC766,Hemangioma_ any site
DC7660,Other abnormal findings on antenatal screening of mother
DC7662,Kaposi's sarcoma_ unspecified
DC7663,Postcholecystectomy syndrome
DC7664,Other specified intervertebral disc displacement
DC7665,Atrioventricular block_ complete
DC7666,Choroidal hemorrhage and rupture
DC7668,Psoriasis vulgaris
DC7669,Carcinoma in situ of larynx
DC767,Malignant neuroleptic syndrome
DC7672,Other acquired abnormalities of ear ossicles
DC7673,Other intestinal malabsorption
DC7677,Disorder of cornea_ unspecified
DC7678,Sprain and strain of sacroiliac joint
DC768,Other and unspecified symptoms and signs involving cognitive functions and awareness
DC7680,Calculus of gallbladder without cholecystitis
DC7681,Fracture of bone following insertion of orthopedic implant_ joint prosthesis_ or bone plate
DC7682,Neoplasm of uncertain or unknown behavior of parathyroid gland
DC7684,Acute lymphadenitis of upper limb
DC7685,Cyst of kidney_ acquired
DC7686,Bipolar affective disorder_ current episode hypomanic
DC7687,Endometrial glandular hyperplasia
DC7690,Carcinoma in situ skin_ unspecified
DC7692,Benign mammary dysplasia_ unspecified
DC7693,Senile incipient cataract
DC7694,Infiltrating Duct Carcinoma
DC7697,Open fracture of thoracic vertebra
DC7698,Open wound of lip and oral cavity
DC7699,Intestine adhesions[bands] with obstruction
DC7702,Dislocation of acromioclavicular joint
DC7703,Dermoid Cyst NOS
DC7704,Basal Cell Carcinoma NOS
DC7705,Burn of second degree of wrist and hand
DC7706,Mouth breathing
DC7708,Thoracic root disorders_ NEC
DC7709,Derangement of meniscus due to old tear or injury_ Anterior cruciate ligament or Anterior horn of medial meniscus
DC771,Toxic effect of rodenticides
DC7710,Malignant neoplasm of corpus uteri_ unspecified
DC7713,Wilson-Mikity syndrome
DC7715,Diaphragmatic hernia with obstruction_ without gangrene
DC7716,Burn of second degree of head and neck
DC772,Pleural plaque without asbestos
DC7720,Bronchiectasis
DC7721,Other single mood [affective] disorders
DC7724,Osteochondropathy_ unspecified
DC7726,Pain in joint_ ankle and foot(metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC7727,Lymphocytic predominance Hodgkin's disease
DC773,Exposure to other specified electric current_ industrial and construction area
DC7730,Immunodeficiency associated with major defect_ unspecified
DC7731,Nephrogenic diabetes insipidus
DC7733,Acute disseminated demyelination_ unspecified
DC7734,Toxic effect of other metals
DC7735,Arthritis in mycoses_ ankle and foot(metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC7737,Cardiac septal defect_ acquired
DC7738,Osteoporosis_ unspecified_ other (head_ neck_ ribs_ skull_ trunk_ vertebral column)
DC7739,Unspecified injury of upper limb_ level unspecified
DC774,Hit_ struck_ twisted_ bitten or scratched by another person_ unspecified place
DC7740,Concussion without open intracranial wound
DC7742,Hypertrophy of breast
DC7743,Termination of pregnancy_ fetus and newborn
DC7745,Refractory anemia _ unspecified
DC7746,Other uterine inertia
DC7747,Irritative hyperplasia of oral mucosa
DC7751,Derangement of meniscus due to old tear or injury_ multiple sites
DC7752,Unilateral or unspecified femoral hernia_ without obstruction or gangrene
DC7756,Fetus and newborn affected by other forms of placental separation and hemorrhage
DC7757,Labour and delivery complicated by fetal stress_ unspecified
DC7758,Malignant Tumor_ Small Cell Type
DC7759,Acute rheumatic pericarditis
DC776,Sprain and strain of ribs and sternum
DC7760,Metastatic Ductal Carcinoma
DC7761,Other cerebral palsy
DC7762,Other genitourinary tract infections following delivery
DC7763,Acute appendicitis with peritoneal abscess
DC7766,Traumatic haemopneumothorax_ with open wound into thoracic cavity
DC7768,Fracture of other parts of forearm_ open
DC7769,Spinal stenosis_ site unspecified
DC777,Recurrent dislocation and subluxation of join_ shoulder region(clavicle_ scapula_ acromioclavicular joints_ glenohumeral joints_ sternoclavicular joints)
DC7770,Other specified diseases of pulmonary vessels
DC7771,Benign neoplasm of duodenum
DC7772,Other status epilepticus
DC7774,Other specified dermatitis
DC7775,Unspecified osteonecrosis_ site unspecified
DC7777,Multiple open wounds of hip and thigh
DC7779,Exposure to other and unspecified forces of nature_ industrial and construction area
